SN,Warranty start date,Warranty end date,Product link
PF2R05DK,2021-07-28,2022-07-27,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/THINKPAD-L-SERIES-LAPTOPS/THINKPAD-L14-TYPE-20U1-20U2/20U1/20U1003CUK/PF2R05DK
PF2R05DE,2021-05-18,2024-05-17,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/THINKPAD-X-SERIES-LAPTOPS/THINKPAD-X1-YOGA-5TH-GEN-TYPE-20UB-20UC/20UC/20UCS3KM4D/PF2R05DE
PF2R00AA,2021-07-02,2024-08-30,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/THINKPAD-X-SERIES-LAPTOPS/THINKPAD-X1-YOGA-6TH-GEN-TYPE-20XY-20Y0/20XY/20XY003EUK/PF2R00AA
PF2R00AB,2021-07-30,2022-07-29,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/LENOVO-CHROMEBOOKS-SERIES/300E-CHROMEBOOK-2ND-GEN/81MB/81MB001DUS/PF2R00AB
PF2R00BC,2021-07-16,2023-07-15,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/3-SERIES/IDEAPAD-GAMING-3-15ARH05/82EY/82EY0014IX/PF2R00BC
PF2R12DR,2021-03-26,2022-05-24,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/IDEAPAD-S-SERIES-NETBOOKS/S145-15IGM/81MX/81MX005JUE/PF2R12DR
PF2R02EW,2021-06-07,2024-06-06,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/THINKPAD-T-SERIES-LAPTOPS/THINKPAD-T14-TYPE-20S0-20S1/20S1/20S1S3B00F/PF2R02EW
PF2R02ER,2021-06-02,2023-06-01,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/3-SERIES/IDEAPAD-GAMING-3-15ARH05/82EY/82EY0014IX/PF2R02ER
PF2R14TT,2021-05-05,2025-11-04,https://pcsupport.lenovo.com/ie/en/products/LAPTOPS-AND-NETBOOKS/LENOVO-CHROMEBOOKS-SERIES/300E-CHROMEBOOK-2ND-GEN/81MB/81MB004UUS/PF2R14TT
